trials.thisRepN,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,"Accuracy (1=correct, 0=incorrect)"
144,10,264.0908019,264.0908019,0.0235349,[-0.44074074074074077],[-0.36666666666666664],[1],[0],[0],2.84147560000,['target'],1
145,10,266.9573475,266.9573475,0.0258673,[0.1962962962962963],[0.2601851851851852],[1],[0],[0],1.23866860000,['target'],1
146,10,268.2274379,268.2274379,0.0256724,[0.17407407407407408],[-0.04814814814814815],[1],[0],[0],2.03703810000,['target'],1
147,5,270.2741742,270.2741742,0.0113722,[-0.025925925925925925],[0.29444444444444445],[1],[0],[0],1.38612499999,['target'],1
148,10,271.6891249,271.6891249,0.0220974,[-0.007407407407407408],[-0.38055555555555554],[1],[0],[0],2.23312990001,['target'],1
149,10,273.9496417,273.9496417,0.0245876,[0.05648148148148148],[-0.4685185185185185],[1],[0],[0],1.18527890000,['target'],1
150,5,275.1586316,275.1586316,0.0213837,[0.058333333333333334],[-0.025925925925925925],[1],[0],[0],1.43778730000,['target'],1
151,10,276.627909,276.627909,0.0222488,[0.35555555555555557],[0.4009259259259259],[1],[0],[0],1.85880570000,['target'],1
152,5,278.5004857,278.5004857,0.0171558,[0.08888888888888889],[-0.43148148148148147],[1],[0],[0],1.63152730001,['target'],1
153,10,280.1752607,280.1752607,0.0328678,[-0.3435185185185185],[-0.462037037037037],[1],[0],[0],1.21226220000,['target'],1
154,5,281.3928292,281.3928292,0.010985,[-0.1824074074074074],[-0.010185185185185186],[1],[0],[0],2.40412650001,['target'],1
155,10,283.8459027,283.8459027,0.0319622,[-0.09166666666666666],[-0.48518518518518516],[1],[0],[0],2.18135440000,['target'],1
156,10,286.0470033,286.0470033,0.0220475,[-0.016666666666666666],[-0.0787037037037037],[1],[0],[0],1.20827860000,['target'],1
157,5,287.2635526,287.2635526,0.0109494,[0.19907407407407407],[0.30648148148148147],[1],[0],[0],1.20324720000,['target'],1
158,10,288.4987929,288.4987929,0.0226539,[-0.32222222222222224],[0.05462962962962963],[1],[0],[0],2.22581150000,['target'],1
159,10,290.7487851,290.7487851,0.0216672,[0.43425925925925923],[-0.06944444444444445],[1],[0],[0],1.62636090000,['target'],1
160,5,292.3842958,292.3842958,0.0122607,[0.07222222222222222],[-0.4546296296296296],[1],[0],[0],1.76886670000,['target'],1
161,5,294.1706837,294.1706837,0.0131031,[-0.03425925925925926],[-0.1398148148148148],[1],[0],[0],1.88670310001,['target'],1
162,10,296.0877037,296.0877037,0.0228407,[0.07407407407407407],[-0.20925925925925926],[1],[0],[0],1.17112970000,['target'],1
163,5,297.2716017,297.2716017,0.0145192,[0.21203703703703702],[0.3509259259259259],[1],[0],[0],1.49991590000,['target'],1
164,10,298.8057493,298.8057493,0.0241717,[-0.3685185185185185],[-0.34814814814814815],[1],[0],[0],2.15574150001,['target'],1
165,10,300.9901939,300.9901939,0.0237543,[0.14351851851851852],[0.28055555555555556],[1],[0],[0],1.29037690001,['target'],1
166,5,302.2876721,302.2876721,0.0123708,[-0.37962962962962965],[-0.21666666666666667],[1],[0],[0],1.18530180001,['target'],1
167,5,303.491917,303.491917,0.0163352,[0.15925925925925927],[-0.33796296296296297],[1],[0],[0],1.76298060000,['target'],1
168,10,305.2866954,305.2866954,0.0217171,[-0.1925925925925926],[0.3731481481481482],[1],[0],[0],1.81065400000,['target'],1
169,5,307.1074217,307.1074217,0.0131883,[0.14907407407407408],[0.362962962962963],[1],[0],[0],1.05053709999,['target'],1
170,10,308.1960944,308.1960944,0.0261287,[0.10648148148148148],[-0.12314814814814815],[1],[0],[0],1.42059530001,['target'],1
171,10,309.6520746,309.6520746,0.0352293,[0.49537037037037035],[-0.3388888888888889],[1],[0],[0],1.97851900000,['target'],1
172,10,311.6572035,311.6572035,0.0221128,[-0.11574074074074074],[0.4925925925925926],[1],[0],[0],1.74238510001,['target'],1
173,5,313.4132178,313.4132178,0.0149719,[0.05925925925925926],[-0.49907407407407406],[1],[0],[0],1.38210350000,['target'],1
174,10,314.8271324,314.8271324,0.0234068,[-0.09074074074074075],[0.24074074074074073],[1],[0],[0],1.60671789999,['target'],1
175,10,316.4613723,316.4613723,0.0237884,[0.19722222222222222],[-0.3472222222222222],[1],[0],[0],1.25751580000,['target'],1
176,5,317.7263004,317.7263004,0.0121277,[-0.462037037037037],[0.40185185185185185],[1],[0],[0],1.93599190000,['target'],1
177,5,319.6845751,319.6845751,0.0182605,[0.3648148148148148],[0.13333333333333333],[1],[0],[0],1.34487610000,['target'],1
178,5,321.0428356,321.0428356,0.0120552,[-0.38425925925925924],[0.22592592592592592],[1],[0],[0],1.10164399999,['target'],1
179,5,322.163628,322.163628,0.0139553,[-0.4009259259259259],[0.28425925925925927],[1],[0],[0],1.38572970001,['target'],1
180,10,323.5811356,323.5811356,0.02245,[-0.13333333333333333],[-0.12037037037037036],[1],[0],[0],1.28835530000,['target'],1
181,5,324.8815617,324.8815617,0.0150882,[-0.006481481481481481],[-0.08148148148148149],[1],[0],[0],0.94918880000,['target'],1
182,5,325.8503719,325.8503719,0.0172226,[-0.11851851851851852],[-0.09166666666666666],[1],[0],[0],0.93022559999,['target'],1
183,10,326.8146316,326.8146316,0.0224606,[0.375],[-0.075],[1],[0],[0],2.54249650000,['target'],1
184,10,329.3874096,329.3874096,0.0223114,[0.2814814814814815],[0.45],[1],[0],[0],2.20855929999,['target'],1
185,5,331.5964708,331.5964708,0.0127456,[-0.275],[-0.49074074074074076],[1],[0],[0],1.51849829999,['target'],1
186,10,333.1482869,333.1482869,0.0215639,[-0.2074074074074074],[0.14629629629629629],[1],[0],[0],1.59741790000,['target'],1
187,10,334.7693035,334.7693035,0.0220259,[-0.17685185185185184],[0.4648148148148148],[1],[0],[0],1.38821749999,['target'],1
188,10,336.1850015,336.1850015,0.0237382,[-0.4675925925925926],[-0.15648148148148147],[1],[0],[0],1.74145110000,['target'],1
189,10,337.9568995,337.9568995,0.0244218,[-0.01574074074074074],[-0.25],[1],[0],[0],1.13695600000,['target'],1
190,10,339.1184268,339.1184268,0.0228969,[-0.05648148148148148],[0.2490740740740741],[1],[0],[0],1.34230800001,['target'],1
191,5,340.4713266,340.4713266,0.0147571,[0.040740740740740744],[0.10277777777777777],[1],[0],[0],1.23222970001,['target'],1
192,5,341.7205371,341.7205371,0.0127054,[0.22870370370370371],[-0.14074074074074075],[1],[0],[0],1.15032920000,['target'],1
193,10,342.9050634,342.9050634,0.0218244,[0.35462962962962963],[-0.4083333333333333],[1],[0],[0],1.35944790000,['target'],1
194,5,344.2721928,344.2721928,0.0125656,[0.1],[0.4675925925925926],[1],[0],[0],3.01813539999,['target'],1
195,10,347.3269376,347.3269376,0.0260751,[-0.10740740740740741],[-0.19444444444444445],[1],[0],[0],2.33976380000,['target'],1
196,5,349.6778404,349.6778404,0.014395,[-0.2601851851851852],[0.10740740740740741],[1],[0],[0],1.34654560000,['target'],1
197,10,351.0581241,351.0581241,0.0220928,[-0.044444444444444446],[-0.35185185185185186],[1],[0],[0],1.69235240000,['target'],1
198,10,352.7755901,352.7755901,0.0263355,[-0.2796296296296296],[0.3296296296296296],[1],[0],[0],1.81972069999,['target'],1
199,10,354.6240939,354.6240939,0.0234271,[-0.20277777777777778],[0.19814814814814816],[1],[0],[0],1.22443430001,['target'],1
,,,,,,,,,,,,
,,,,,,,,,,1.68981616200,,0.995
,,,,,,,,,,(Reaction Time),,(Accuracy)
